,0,1
2010-09-08,1.1047163924018886,1.1288246420613277
2010-09-09,1.0447405981148252,1.063807205849465
2010-09-10,1.1523365554945282,1.3044237739421876
2010-09-13,0.88631298189416,1.2174746921151969
2010-09-14,0.8704495633820813,1.011323582923845
2010-09-15,0.2444730132806192,0.7392739489034852
2010-09-16,1.335274169911317,1.8340410453718141
2010-09-17,0.9107661257905943,1.4736622485694613
2010-09-21,1.7268344312435933,1.116293501111691
2010-09-22,1.076147410462096,0.9293023241641438
2010-09-24,1.0862722806838139,0.6130301290077071
2010-09-27,0.8333472320231343,0.9849605338953691
2010-09-28,1.318413573835018,1.0873877238356946
2010-09-29,0.9198813471191625,0.9961853737540947
2010-09-30,0.8673490851520407,1.0013851920120205
2010-10-01,0.7659442924976414,0.8832561618621935
