date,Daily SJ
2010-12-02,-0.48008299279387506
2010-12-03,-0.41889893290390134
2010-12-06,-0.39981604534573667
2010-12-07,-0.30204610689018374
2010-12-08,-0.2013452928593966
2010-12-09,-0.1632458243974341
2010-12-10,-0.1608449987064194
2010-12-13,-0.13513221124783864
2010-12-14,-0.1282809878763874
2010-12-15,-0.15837747771166277
2010-12-16,-0.1327371279580041
2010-12-17,-0.12047073823843606
2010-12-20,-0.14601871480454606
2010-12-21,-0.15978016491595468
2010-12-22,-0.10214009603034226
2010-12-24,-0.049254232690471904
2010-12-27,-0.19306330461193805
2010-12-28,-0.16616512151040683
2010-12-29,-0.16987634798609652
2010-12-30,-0.14760370572887252
