,0
2009-11-27,1.3702719470878566
2009-11-30,1.2743845587748817
2009-12-01,1.6121585800580875
2009-12-02,1.5539650961906037
2009-12-03,1.588188287412224
2009-12-04,1.5879453439392326
2009-12-07,1.5853741685645337
2009-12-08,1.5773502545906544
2009-12-09,1.1590793125993017
2009-12-10,1.0029450552052992
2009-12-11,1.2407045152257188
2009-12-14,1.015102581989628
2009-12-15,0.8496945216109201
2009-12-16,1.4974612225214554
2009-12-17,1.595194032519183
2009-12-18,1.035373800210403
2009-12-21,0.8544803535151004
2009-12-22,0.9246391816825914
2009-12-24,0.5775197808191194
2009-12-25,0.4189235399971423
2009-12-28,0.37801594088815316
2009-12-29,0.39013363039789223
2009-12-30,0.4801883895910576
2010-01-04,0.448308685876723
2010-01-05,0.7521318429452106
